,row,col,top
0,10,1127,1.0
1,11,265,1.0
2,11,1153,1.0
3,11,1190,1.0
4,12,264,1.0
5,12,330,1.0
6,12,657,1.0
7,12,1052,1.0
8,12,1196,1.0
9,13,790,1.0
10,13,1075,1.0
11,13,1230,0.0
12,13,1371,0.0
13,14,330,1.0
14,14,806,1.0
15,15,189,1.0
16,15,781,1.0
17,15,1094,0.0
18,16,323,1.0
19,16,325,1.0
20,16,990,1.0
21,16,1072,1.0
22,17,717,1.0
23,17,1065,0.0
24,17,1102,0.0
25,18,316,1.0
26,18,481,1.0
27,18,503,1.0
28,18,716,1.0
29,18,1022,1.0
30,18,1179,0.0
31,18,1213,1.0
32,19,999,1.0
33,19,1084,0.0
34,20,297,1.0
35,20,357,1.0
36,20,397,1.0
37,20,956,0.0
38,20,1054,0.0
39,20,1261,0.0
40,21,348,1.0
41,21,906,0.0
42,21,983,0.0
43,21,1040,0.0
44,21,1274,1.0
45,22,253,1.0
46,22,571,1.0
47,22,904,0.0
48,22,1064,1.0
49,22,1131,1.0
50,22,1247,0.0
51,23,346,1.0
52,23,495,1.0
53,23,1065,1.0
54,23,1097,1.0
55,24,505,1.0
56,24,809,0.0
57,24,897,0.0
58,24,922,0.0
59,24,1025,1.0
60,24,1216,1.0
61,24,1293,0.0
62,25,206,1.0
63,25,255,1.0
64,25,334,1.0
65,25,1067,1.0
66,26,310,1.0
67,26,972,0.0
68,26,1011,1.0
69,26,1068,1.0
70,26,1201,0.0
71,26,1222,0.0
72,27,523,1.0
73,27,769,1.0
74,27,881,0.0
75,27,1069,1.0
76,27,1221,0.0
77,27,1316,0.0
78,28,308,1.0
79,28,348,1.0
80,28,829,0.0
81,28,891,0.0
82,28,997,0.0
83,28,1140,1.0
84,28,1157,0.0
85,29,363,1.0
86,29,716,1.0
87,29,730,1.0
88,29,776,0.0
89,29,787,1.0
90,29,829,0.0
91,29,903,0.0
92,29,1040,0.0
93,29,1070,1.0
94,30,1071,1.0
95,30,1142,1.0
96,31,348,1.0
97,31,516,1.0
98,31,598,0.0
99,31,616,0.0
100,31,1108,0.0
101,31,1140,1.0
102,31,1264,0.0
103,32,257,1.0
104,32,727,0.0
105,32,746,1.0
106,32,1123,0.0
107,32,1131,1.0
108,33,301,1.0
109,33,514,1.0
110,33,630,0.0
111,33,1105,0.0
112,33,1144,1.0
113,34,168,1.0
114,34,262,1.0
115,34,383,1.0
116,34,473,1.0
117,34,621,0.0
118,34,685,0.0
119,34,735,1.0
120,34,752,1.0
121,34,972,0.0
122,35,492,1.0
123,35,508,1.0
124,35,801,1.0
125,35,1166,0.0
126,36,738,1.0
127,36,788,1.0
128,36,891,0.0
129,37,265,1.0
130,37,349,1.0
131,37,390,1.0
132,37,742,0.0
133,37,765,0.0
134,37,802,1.0
135,37,1230,0.0
136,37,1344,0.0
137,38,618,0.0
138,38,640,0.0
139,38,1021,0.0
140,38,1028,1.0
141,38,1049,0.0
142,38,1077,1.0
143,39,518,1.0
144,39,551,0.0
145,39,967,1.0
146,39,1078,1.0
147,39,1160,0.0
148,40,342,1.0
149,40,521,0.0
150,40,570,1.0
151,40,693,0.0
152,40,738,1.0
153,40,772,0.0
154,40,804,0.0
155,40,912,0.0
156,40,1105,0.0
157,40,1108,0.0
158,40,1374,0.0
159,41,360,0.0
160,41,497,1.0
161,41,944,1.0
162,41,1083,1.0
163,41,1283,0.0
164,42,275,1.0
165,42,693,0.0
166,42,1376,0.0
167,43,396,0.0
168,43,596,1.0
169,43,751,0.0
170,43,910,0.0
171,44,222,0.0
172,44,237,0.0
173,44,488,1.0
174,44,707,0.0
175,44,1149,1.0
176,44,1230,0.0
177,44,1262,0.0
178,44,1270,0.0
179,45,203,0.0
180,45,520,1.0
181,45,540,0.0
182,45,718,0.0
183,45,722,0.0
184,45,955,0.0
185,45,1184,0.0
186,45,1254,0.0
187,46,252,0.0
188,46,380,0.0
189,46,469,0.0
190,46,607,0.0
191,46,757,0.0
192,46,814,1.0
193,46,840,0.0
194,46,888,0.0
195,46,1025,1.0
196,47,815,1.0
197,47,1115,0.0
198,48,278,1.0
199,48,479,0.0
200,48,859,0.0
201,48,882,0.0
202,48,999,0.0
203,48,1372,0.0
204,49,267,0.0
205,49,302,1.0
206,49,529,1.0
207,49,596,1.0
208,49,945,0.0
209,50,470,0.0
210,50,530,1.0
211,50,828,0.0
212,50,878,0.0
213,50,952,0.0
214,50,974,0.0
215,50,979,0.0
216,50,1163,1.0
217,50,1300,0.0
218,51,445,0.0
219,51,563,1.0
220,51,702,0.0
221,51,860,0.0
222,51,1291,0.0
223,52,402,0.0
224,52,465,1.0
225,52,613,0.0
226,52,890,0.0
227,52,900,1.0
228,52,1131,1.0
229,53,436,0.0
230,53,1012,0.0
231,53,1134,1.0
232,53,1277,0.0
233,54,245,0.0
234,54,253,0.0
235,54,445,0.0
236,54,580,0.0
237,54,905,0.0
238,54,910,0.0
239,54,994,0.0
240,54,1020,1.0
241,54,1075,0.0
242,54,1148,0.0
243,55,110,0.0
244,55,172,0.0
245,55,176,0.0
246,55,188,0.0
247,55,299,0.0
248,55,311,0.0
249,55,481,1.0
250,55,695,0.0
251,55,907,0.0
252,55,1288,0.0
253,55,1370,0.0
254,56,79,0.0
255,56,214,0.0
256,56,216,0.0
257,56,367,0.0
258,56,1174,0.0
259,56,1234,0.0
260,57,280,1.0
261,57,450,0.0
262,57,504,0.0
263,57,931,0.0
264,57,1119,0.0
265,57,1138,1.0
266,58,116,0.0
267,58,301,1.0
268,58,482,1.0
269,58,695,0.0
270,58,869,1.0
271,58,1025,0.0
272,58,1048,0.0
273,58,1139,1.0
274,59,37,0.0
275,59,276,0.0
276,59,302,1.0
277,59,440,1.0
278,59,462,1.0
279,59,655,0.0
280,59,771,0.0
281,59,808,0.0
282,59,858,0.0
283,59,1295,0.0
284,60,142,0.0
285,60,165,0.0
286,60,452,1.0
287,60,670,0.0
288,60,1238,0.0
289,60,1366,0.0
290,61,304,1.0
291,61,524,0.0
292,61,563,0.0
293,61,583,0.0
294,61,880,1.0
295,61,1005,0.0
296,61,1184,0.0
297,62,125,0.0
298,62,385,0.0
299,62,831,0.0
300,63,332,0.0
301,63,694,0.0
302,63,799,0.0
303,63,823,0.0
304,63,1323,0.0
305,64,218,0.0
306,64,356,0.0
307,64,540,0.0
308,64,599,0.0
309,64,634,0.0
310,64,788,0.0
311,64,1013,0.0
312,64,1246,0.0
313,65,166,0.0
314,65,307,1.0
315,65,1030,0.0
316,65,1142,1.0
317,65,1146,1.0
318,65,1357,0.0
319,66,435,0.0
320,66,680,0.0
321,66,730,0.0
322,66,882,0.0
323,66,1044,1.0
324,66,1136,0.0
325,66,1274,0.0
326,67,334,0.0
327,67,681,0.0
328,67,1173,1.0
329,67,1224,0.0
330,68,89,0.0
331,68,119,0.0
332,68,819,1.0
333,68,929,0.0
334,69,277,1.0
335,69,343,0.0
336,69,463,1.0
337,69,1148,1.0
338,69,1221,0.0
339,70,199,0.0
340,70,326,0.0
341,70,368,0.0
342,70,627,0.0
343,70,734,0.0
344,70,806,1.0
345,70,1149,1.0
346,71,51,0.0
347,71,95,0.0
348,71,142,0.0
349,71,176,1.0
350,71,393,1.0
351,71,415,0.0
352,71,419,0.0
353,71,715,0.0
354,71,836,1.0
355,71,1307,1.0
356,71,1349,0.0
357,71,1369,0.0
358,72,222,0.0
359,72,308,1.0
360,72,632,0.0
361,72,667,0.0
362,72,779,0.0
363,72,826,1.0
364,72,947,0.0
365,73,56,0.0
366,73,240,0.0
367,73,619,0.0
368,73,794,1.0
369,73,1049,1.0
370,73,1139,1.0
371,73,1356,0.0
372,74,380,1.0
373,74,914,0.0
374,74,998,1.0
375,74,1366,0.0
376,75,202,0.0
377,75,449,0.0
378,75,508,0.0
379,75,812,1.0
380,75,815,1.0
381,75,1269,0.0
382,76,266,0.0
383,76,320,1.0
384,76,333,0.0
385,76,383,1.0
386,76,430,1.0
387,76,501,1.0
388,76,595,0.0
389,76,598,0.0
390,76,656,0.0
391,76,691,0.0
392,76,829,0.0
393,76,893,0.0
394,76,1253,0.0
395,77,70,0.0
396,77,301,0.0
397,77,500,1.0
398,77,946,0.0
399,77,1025,0.0
400,77,1051,1.0
401,77,1302,0.0
402,78,176,0.0
403,78,225,0.0
404,78,369,1.0
405,78,764,1.0
406,78,805,0.0
407,78,963,1.0
408,78,988,0.0
409,78,1086,0.0
410,78,1290,1.0
411,79,220,1.0
412,79,229,1.0
413,79,365,1.0
414,79,513,0.0
415,79,789,1.0
416,79,924,0.0
417,79,1097,0.0
418,79,1366,0.0
419,80,27,0.0
420,80,236,0.0
421,80,303,1.0
422,80,483,1.0
423,80,655,0.0
424,80,769,1.0
425,80,1141,1.0
426,80,1298,0.0
427,81,267,0.0
428,81,360,1.0
429,81,756,0.0
430,81,1101,0.0
431,82,125,0.0
432,82,144,0.0
433,82,152,0.0
434,82,333,1.0
435,82,473,1.0
436,82,800,1.0
437,82,917,0.0
438,82,1136,0.0
439,83,183,0.0
440,83,337,1.0
441,83,352,1.0
442,83,779,0.0
443,83,918,0.0
444,83,951,0.0
445,83,1159,1.0
446,83,1180,1.0
447,83,1338,0.0
448,84,84,0.0
449,84,325,0.0
450,84,610,0.0
451,84,945,0.0
452,84,1057,1.0
453,84,1068,0.0
454,85,91,0.0
455,85,223,1.0
456,85,281,0.0
457,85,436,1.0
458,85,796,0.0
459,86,192,0.0
460,86,232,0.0
461,86,285,0.0
462,86,1003,0.0
463,86,1098,1.0
464,86,1140,1.0
465,86,1306,1.0
466,87,226,1.0
467,87,269,1.0
468,87,340,1.0
469,87,569,0.0
470,87,690,0.0
471,87,704,0.0
472,87,821,1.0
473,87,879,0.0
474,87,1141,1.0
475,87,1315,0.0
476,88,354,1.0
477,88,437,1.0
478,88,705,0.0
479,88,835,1.0
480,88,1025,0.0
481,88,1094,0.0
482,88,1296,1.0
483,88,1376,0.0
484,89,300,1.0
485,89,382,0.0
486,89,460,0.0
487,89,789,1.0
488,89,881,0.0
489,89,893,0.0
490,89,1088,0.0
491,89,1167,0.0
492,90,268,1.0
493,90,314,0.0
494,90,415,0.0
495,90,819,0.0
496,90,1091,0.0
497,90,1162,1.0
498,91,213,0.0
499,91,420,1.0
500,91,1348,0.0
501,91,1377,0.0
502,92,262,0.0
503,92,281,0.0
504,92,343,0.0
505,92,396,0.0
506,92,467,1.0
507,92,790,1.0
508,92,979,0.0
509,92,1148,0.0
510,92,1270,0.0
511,93,552,0.0
512,93,807,1.0
513,93,874,0.0
514,93,965,1.0
515,93,1112,1.0
516,93,1201,1.0
517,94,16,0.0
518,94,420,1.0
519,94,455,1.0
520,94,609,0.0
521,94,719,0.0
522,94,776,0.0
523,94,850,0.0
524,95,768,1.0
525,95,945,0.0
526,95,1215,1.0
527,95,1266,0.0
528,96,247,1.0
529,96,736,0.0
530,96,888,0.0
531,96,914,1.0
532,96,1022,0.0
533,96,1036,1.0
534,96,1337,0.0
535,97,235,0.0
536,97,246,1.0
537,97,319,0.0
538,97,427,0.0
539,97,913,1.0
540,97,1307,0.0
541,98,30,0.0
542,98,197,1.0
543,98,269,1.0
544,98,473,0.0
545,98,552,0.0
546,98,911,1.0
547,98,975,1.0
548,98,1107,0.0
549,98,1124,0.0
550,98,1162,1.0
551,99,162,0.0
552,99,331,0.0
553,99,459,1.0
554,99,541,0.0
555,99,751,0.0
556,99,1072,0.0
557,99,1250,0.0
558,100,44,0.0
559,100,104,0.0
560,100,199,1.0
561,100,238,1.0
562,100,476,0.0
563,100,604,0.0
564,100,764,0.0
565,100,853,1.0
566,100,966,0.0
567,100,1280,0.0
568,101,256,0.0
569,101,258,0.0
570,101,420,1.0
571,101,792,1.0
572,101,878,0.0
573,101,1178,0.0
574,101,1263,0.0
575,101,1300,1.0
576,102,40,0.0
577,102,147,0.0
578,102,525,0.0
579,102,553,0.0
580,102,907,1.0
581,102,1139,1.0
582,102,1199,0.0
583,103,299,1.0
584,103,550,0.0
585,103,564,0.0
586,103,634,0.0
587,103,991,0.0
588,103,1101,1.0
589,104,768,0.0
590,104,941,0.0
591,104,973,1.0
592,104,1244,0.0
593,105,119,0.0
594,105,359,0.0
595,105,449,1.0
596,105,966,1.0
597,105,1125,1.0
598,106,75,0.0
599,106,639,0.0
600,106,850,1.0
601,106,957,0.0
602,106,1094,1.0
603,106,1162,1.0
604,106,1191,1.0
605,107,213,1.0
606,107,219,0.0
607,107,272,1.0
608,107,454,1.0
609,107,483,1.0
610,107,750,0.0
611,107,840,0.0
612,107,1018,0.0
613,107,1151,0.0
614,107,1163,1.0
615,108,226,0.0
616,108,425,1.0
617,108,738,0.0
618,108,746,0.0
619,108,1048,0.0
620,109,201,0.0
621,109,216,1.0
622,109,660,0.0
623,109,758,0.0
624,109,966,0.0
625,109,988,0.0
626,109,1223,0.0
627,110,239,0.0
628,110,625,0.0
629,110,663,0.0
630,110,905,0.0
631,110,958,0.0
632,110,1087,1.0
633,110,1099,0.0
634,110,1119,1.0
635,110,1300,1.0
636,110,1304,0.0
637,111,117,0.0
638,111,618,0.0
639,111,794,1.0
640,111,1092,0.0
641,111,1256,1.0
642,112,355,0.0
643,112,379,0.0
644,112,521,1.0
645,112,553,0.0
646,112,594,0.0
647,112,625,0.0
648,112,727,0.0
649,112,949,0.0
650,112,1120,1.0
651,112,1291,0.0
652,113,75,0.0
653,113,110,0.0
654,113,138,0.0
655,113,274,1.0
656,113,533,1.0
657,113,1019,0.0
658,113,1031,1.0
659,113,1128,0.0
660,113,1300,1.0
661,113,1338,0.0
662,114,218,1.0
663,114,228,0.0
664,114,279,0.0
665,114,599,0.0
666,114,1257,1.0
667,114,1373,0.0
668,115,510,1.0
669,115,795,1.0
670,115,920,0.0
671,115,963,1.0
672,115,1002,0.0
673,115,1012,0.0
674,115,1101,0.0
675,115,1162,1.0
676,115,1321,1.0
677,116,833,0.0
678,116,927,1.0
679,117,509,1.0
680,117,530,1.0
681,117,607,0.0
682,117,789,0.0
683,117,1203,0.0
684,117,1228,0.0
685,117,1369,0.0
686,118,48,0.0
687,118,136,1.0
688,118,218,1.0
689,118,239,0.0
690,118,526,1.0
691,118,531,1.0
692,118,749,0.0
693,118,1217,0.0
694,118,1365,0.0
695,119,130,0.0
696,119,297,0.0
697,119,501,1.0
698,119,525,1.0
699,119,709,0.0
700,119,835,1.0
701,119,889,0.0
702,119,1287,0.0
703,120,327,0.0
704,120,500,1.0
705,120,518,1.0
706,120,1004,0.0
707,120,1139,0.0
708,120,1158,1.0
709,120,1331,0.0
710,121,430,1.0
711,121,539,1.0
712,121,544,1.0
713,121,770,0.0
714,121,774,0.0
715,121,864,0.0
716,121,937,0.0
717,122,151,0.0
718,122,739,1.0
719,122,806,0.0
720,122,874,0.0
721,122,1275,0.0
722,122,1283,0.0
723,123,195,0.0
724,123,219,1.0
725,123,456,1.0
726,123,742,1.0
727,123,761,0.0
728,123,770,0.0
729,123,848,1.0
730,123,1199,0.0
731,124,223,0.0
732,124,521,1.0
733,124,552,1.0
734,124,620,0.0
735,124,706,0.0
736,124,917,1.0
737,124,1131,1.0
738,124,1166,1.0
739,124,1276,0.0
740,125,220,1.0
741,125,438,1.0
742,125,448,1.0
743,125,547,1.0
744,125,702,0.0
745,125,802,0.0
746,125,819,1.0
747,125,905,1.0
748,125,1010,0.0
749,125,1152,1.0
750,125,1193,0.0
751,126,87,0.0
752,126,95,0.0
753,126,432,1.0
754,126,466,1.0
755,126,559,1.0
756,126,653,0.0
757,126,664,0.0
758,126,708,0.0
759,126,749,1.0
760,126,1037,0.0
761,126,1082,0.0
762,127,177,0.0
763,127,277,0.0
764,127,515,1.0
765,127,560,1.0
766,127,763,1.0
767,127,822,1.0
768,127,971,1.0
769,127,1143,0.0
770,127,1192,0.0
771,127,1260,1.0
772,128,173,0.0
773,128,496,1.0
774,128,513,1.0
775,128,666,0.0
776,128,757,1.0
777,128,982,1.0
778,128,1315,1.0
779,129,304,0.0
780,129,537,0.0
781,129,565,1.0
782,129,714,0.0
783,129,772,1.0
784,129,945,0.0
785,129,1066,1.0
786,129,1169,1.0
787,129,1173,0.0
788,129,1205,0.0
789,129,1239,1.0
790,130,138,1.0
791,130,153,0.0
792,130,283,1.0
793,130,400,0.0
794,130,470,1.0
795,130,504,1.0
796,130,598,0.0
797,130,789,1.0
798,130,1057,1.0
799,131,115,0.0
800,131,225,1.0
801,131,428,1.0
802,131,759,1.0
803,131,1088,1.0
804,131,1242,1.0
805,132,427,1.0
806,132,500,1.0
807,133,21,0.0
808,133,232,0.0
809,133,454,1.0
810,133,472,1.0
811,133,483,1.0
812,133,549,1.0
813,133,622,0.0
814,133,731,0.0
815,133,793,1.0
816,133,812,1.0
817,133,853,1.0
818,133,918,0.0
819,133,1023,0.0
820,133,1283,0.0
821,133,1312,1.0
822,134,102,0.0
823,134,226,1.0
824,134,325,0.0
825,134,519,0.0
826,134,794,1.0
827,134,802,1.0
828,134,1042,0.0
829,134,1059,1.0
830,134,1143,1.0
831,135,98,0.0
832,135,133,1.0
833,135,227,1.0
834,135,506,0.0
835,135,1132,1.0
836,135,1215,1.0
837,136,203,0.0
838,136,228,1.0
839,136,518,0.0
840,136,772,0.0
841,136,1078,0.0
842,136,1224,0.0
843,137,43,0.0
844,137,187,0.0
845,137,260,1.0
846,137,328,0.0
847,137,448,1.0
848,137,568,1.0
849,137,751,0.0
850,137,1011,0.0
851,137,1088,0.0
852,138,94,0.0
853,138,229,1.0
854,138,476,1.0
855,138,873,0.0
856,138,878,0.0
857,139,241,0.0
858,139,261,1.0
859,139,269,0.0
860,139,428,0.0
861,139,610,0.0
862,139,758,0.0
863,139,961,1.0
864,139,1040,0.0
865,139,1190,0.0
866,139,1221,0.0
867,140,460,1.0
868,140,920,0.0
869,140,1140,1.0
870,140,1262,1.0
871,141,233,1.0
872,141,418,1.0
873,141,573,1.0
874,141,759,0.0
875,141,1081,0.0
876,141,1144,1.0
877,141,1263,1.0
878,142,18,0.0
879,142,214,0.0
880,142,351,0.0
881,142,492,0.0
882,142,788,0.0
883,142,800,0.0
884,142,854,0.0
885,142,875,0.0
886,142,998,0.0
887,142,1162,1.0
888,142,1229,1.0
889,143,108,0.0
890,143,219,0.0
891,143,259,1.0
892,143,395,1.0
893,143,762,0.0
894,143,792,0.0
895,143,803,0.0
896,143,1251,0.0
897,143,1279,0.0
898,144,199,0.0
899,144,239,1.0
900,144,267,1.0
901,144,273,0.0
902,144,479,1.0
903,144,499,0.0
904,144,727,0.0
905,144,860,0.0
906,144,1152,0.0
907,144,1207,1.0
908,144,1304,0.0
909,145,268,1.0
910,145,1056,0.0
911,145,1361,0.0
912,146,88,0.0
913,146,193,0.0
914,146,269,1.0
915,146,400,0.0
916,146,1265,1.0
917,146,1270,0.0
918,147,69,0.0
919,147,91,0.0
920,147,128,1.0
921,147,270,1.0
922,147,405,1.0
